Comment,Sentiment
"The strategies the writer has espoused in the book are good. 
However, there are a few things to consider:
Highlighting, Rereading and Taking notes all have their place in learning, it just maybe that for most people, it won't be as effective if we make them fair against  some other strategies like spaced repetition and quizzing and others.
For example, Highlighting won't improve your memory for that info that you highlighted, yes (for most people). However, highlighting important points/topics/lines/blocks can actually help you review things quickly before exams when you are short for time. You don't wanna search trough which points are important to focus on before an exam, especially if you don't have much time to review them.
Another thing is that while highlighting won't improve your retention/memory for that particular text/block, if you have Synesthesia, then highlighting will very likely improve your retention of that piece of text. Now, yes, people with Synesthesia are relatively rare, but I thought it's better that I mention this.

Rereading can be quite helpful for glancing through concepts before an exam, but I would say ""Selective Rereading"", basically, Rereading the concepts which, for whatever reason, you forget more often than not, and concepts that are very important for that exam.

And Taking notes, again, basically helps you go through the concepts relatively quickly when you review them before an exam.

All in all though, the information provided in this book is very good, especially the ""Testing/Quizzing before learning a concept, aka, Priming"" strategy. I have used this during learning coding (JavaScript), and it really works, even though it seems counter-intuitive.",0.9633
"best way to learn AI - practical Implementation , Growth mindset - using visual ,audio or text for different things to learn accordingly approaching things different perspective for better understanding",0.8658
What a coincidence! I just started reading this book yesterday.,0.0
"Es de mucho valor la información de este video, gracias Tina!!",0.0
So if you don't take notes... how does one go and review math concepts after class?,0.0
Thank you for this video! I have read this book before but I have not consistently followed the advice.   You have motivated me to apply these techniques for this new scary thing I have to learn at work.  ❤,0.1882
"Mini quiz:
1) forgot
2) familiarity trap
3) studying different topics instead of a single topic per study session
4) multiple small tests",-0.3182
Respectfully: I love you Tina!!,0.8168
"For my experience, make a song out of your subject matter, and make it catchy.  It’s not that you might remember it, you will never be able to forget it. Same with scents, noises, stories, jokes, etc. I doubt my take it science, but it works. Mnemonics are helpful in this way, too. 7 Ps: Prior😢 Planning Prevents P!SS Poor Peformance - remember that.. and the hidden catch",-0.2363
"For my experience, make a song out of your subject matter, and make it catchy.  It’s not that you might remember it, you will never be able to forget it. Same with scents, noises, stories, jokes, etc. I doubt my take it science, but it works. Mnemonics are helpful in this way, too. 7 Ps: Prior😢 Planning Prevents P!SS Poor Peformance - remember that.. and the hidden catch",-0.2363
1. note taking 2. highlighting 3.rereading/ 2. the familiarity trap/ 3.my mixing two subjects/ 4.multiple small tests.,0.0
"1. Learning misconceptions;
- ""I know things because I learn. I don't know things because I don't""
- Learning should be easy
- Repeated practice works
2. Familiarity Trap.
3. By studying AI prompt engineering after Macroeconomics at the same day instead of one subject for one day.
4. Multiple steps. Higher retention rate.",0.1531
I need strategies to learn what is in this video 🐢🦕,0.0
Ty for your videos. You do a great job and you are helping me grow. I appreciate that and I hope your channel grows and that your success in YT has no ceiling.,0.9432
"Former teacher, after teaching over a thousand 1000 students, all I really know is how I learn",0.0
"Top 3 learning misconceptions 
1 highlighting
2 re reading
3 taking notes
The trap people fall into when highlighting or re reading ? 
I am unsure but I feel like it makes you feel like you are learning but it is too easy so you don't  actually  learn. 
How you can use interleaving in yiu own studies? 
By guessing the connections  your mind can find and put them together and mix and matching .
Multiple small tests are better than larger ones. 
Writing and watching this after a day's worth of work done too tired but fired up to how to learn",0.7514
"1) 3 common mistakes are passive learning, _, _.
2) They are not actively learning.
3) You can study topic A then topic B one day, and the next B then A. Instead of A one day, and B the other.
4) Multiple small tests are better as you are actively recalling more often.
5) Kinaesthetics learning is the best way to learn about LLMs.
6) Growth mindset is knowing that you can improve.",0.8392
"1. Highlighting, taking down notes, and something...I forgot the last one
2. they focus on regurgitating information instead of focusing on it
3. I totally forgot about this, i think i lost focus
4. Multiple small steps

now, to the rest of the comments",-0.3182
If someone is visual and a non-auditory learner it makes sense to take notes and sketch.,0.0
"I do that a lot... If i compare a study guides from differernt vendors and find their cetifications are not well structured like databricks cert objectives, I dont and wont find it enticing. I like structure like bacpropagation and forward propagation confirming error correction and holding a reservior of strength and breath in the muscles with a tactile or kinetic walks for a long duration of time. Microsoft certifications have a good idea of keeping their study guide or objective in a framed, structured approach which helps in acquiring sound understanding and knowledge of the domain or workload - a cleaner form of seeing actionable pipeline or series of steps, processes or operations. A certain company are so brilliant they wanted their analytics team and newbies to be comfortable with knowing what a data pipeline is by recognising it in their study guide - their competition are just everywhere waiting for others to follow them based on their ELT big data version.",0.8962
"1) when studying feel super hard and you feel there's no progress (misconception #1) / Truth is you are learning but its subconscious .
2) watching a teacher show you how to do or solve and think you get it but when facing the problem alone you get stuck(misconception #2) / To truly know you must do the work. 
3) ""im guilty of this one"" Thinking pushing one self or applying tremendous pressure to repeat until you get it is great learning (misconception #3)/ Breaks are good actually there great!

 >>> The trap they fall into is the ""familiarity learning trap"" (mindless highlighting )

>>> Interleaving is a strategy to retain and learn more by learning different parts/subject/category  in between another... most effective yet highly difficult .

>>>Priming / Multiple small quiz/tests give the best results.",0.9512
"I really enjoy your book/education videos. More than technical learning (coding, math, music, etc.) I prefer psychology and internal transformation (mental awareness, emotional intelligence, etc.). For example, Make It Stick is far more interesting than Basic Economics by Thomas Sowell to me. In fact, I'm curious if Brown et al. discuss whether interest in the subject matter is a factor. Because I really like learning self-help techniques and applying them immediately. For example, I just read The 5-Second Rule by Mel Robbins. Basically, I have a slight shyness around people I don't know. I know, shocking. It's not horrible, but it's certainly there. After reading The 5-second Rule, I decided to test the book and went up to about 8 or 9 people independently over the last 2 weeks at my gym and asked them if they were interested in going rock climbing. Most, about 2/3rd, said yes, half showed up, and Tina, we had a blast. What was funny was that I was surprised at how people long for community. They kept saying during the day, ""What are we going to do next...what's our next outing?"" I like learning mental and emotional awareness and applying immediately to see if it works and if I'm up for the challenge. Anyway, I highly recommend you read the 5-Second Rule if you haven't. I can walk up to anyone now.",0.9881
I'm wondering how the improved results of testing throughout the semester vs have only midterm/final relate to familiarity bias. Are they truly so different?,0.6808
"Due to my ADHD I don't stick to same subjects while learning, i mix my studying subjects so that I can increase my dopamine levels, so that I can keep my learning habits consistent",0.3744
"I didn't know interleaving was a thing but have been doing it after hitting a learning wall and wanted to clear my brain a bit. Early days, but it seems to be pretty effective",0.9161
Can you make a video on MLP Neural Network??,0.0
Fantastic advice!,0.5983
"After 30+ years of always learning (Programmer/developer/software analyst), you get burned out.  I stopped working on getting certifications because I always have to take paid tests, every year, even if you use the software on a daily basis.  Things change so much so fast.  There are days where I just want to sit down and read a fantasy/sci fi book.  Not read an article on best Database practices, or upgrade to an existing programming software.  

Learn from Tina's strategies while you are young.  It will help you not get burned out when you are older...like me. ha ha",0.8779
"I recommend reading ""Pragmatic Thinking and Learning :
Refactor Your Wetware"" too helped me a lot",0.3612
"Interesting video, thanks for the info. I’m going to look into that book😊🤙🏽",0.6808
Glad to be here. Thank you Tina.,0.6705
"Love the content, great quality too!🙏🏾 keep up the great work 😊",0.9286
"Tina how do you structure your day? You read a lot and producing Youtube videos and running a business. How you do it?

Edit: I thought repeated practice or re-reading is helpful",0.4871
"Nerd














































s are awesome. 🙏",0.4404
